Test ID,Test Case Name,Description,Test Type,Priority,Category,User Story,Acceptance Criteria,Steps,Expected Results,Notes
TC_1455_008,Difference in Condition Endorsement Form - No Subrogation,Verify ZC-FLXS-11816 U and ZC-FLXS-11816 G forms (DIC with No Subrogation) are available and fillable.,Positive,High,Form Availability,1455,"DIC forms with No Subrogation clause available in English and French","1. Login to EZDocs
2. Navigate to Financial Lines > Excess Select
3. Add forms ZC-FLXS-11816 U and ZC-FLXS-11816 G
4. Click Fill-in Details for each
5. Verify all fields display","1. Both English and French versions accessible
2. No Subrogation Against Insured Person clause displays
3. Drop Down Coverage is present and functional
4. Growing table for policy information displays",DIC endorsement forms
TC_1455_009,Create Quote from Forms with Endorsements,Verify user can create a quote successfully after completing all required endorsement forms.,Positive,High,Quote Generation,1455,"Quote creation succeeds after form completion","1. Login to EZDocs
2. Select Financial Lines > Excess Select
3. Fill all required submission fields
4. Add ZC-FLXS-256-C CW and fill details
5. Add ZC-FLXS-11819 U and fill details
6. Navigate to Quote section
7. Click Create Quote","1. Quote button is enabled and clickable
2. Quote is generated without errors
3. Quote displays form information correctly
4. Quote timestamp recorded
5. Quote status shows as active",BAU Release form effective date
TC_1455_010,Preview Quote in English,Verify quote preview displays all form content and filled data correctly in English language.,Positive,High,Document Preview,1455,"English preview: All forms and data visible in English","1. Login to EZDocs
2. Create a quote with forms ZC-FLXS-256-C CW and ZC-FLXS-11817 U
3. Click Preview Document
4. Select English language
5. Review preview","1. Preview loads without errors
2. All form titles display in English
3. All filled data appears in preview
4. Language is correctly set to English
5. Download option available",English version preview
TC_1455_011,Preview Quote in French,Verify quote preview displays all form content in French language where applicable.,Positive,High,Document Preview,1455,"French preview: All forms and data visible in French","1. Login to EZDocs
2. Create a quote with forms ZC-FLXS-256-C FR and ZC-FLXS-11819 U
3. Click Preview Document
4. Select French language
5. Review preview","1. Preview loads in French
2. Form titles display in French (Avenant...)
3. All field labels in French
4. Data displays correctly
5. Download option available in French",French version preview
TC_1455_012,Validate Fields in Finalized Document,Verify all fields from endorsement forms validate correctly in the finalized document for both languages.,Positive,High,Field Validation,1455,"Field validation: All endorsement data present and accurate in document","1. Login to EZDocs
2. Complete submission with multiple endorsement forms
3. Create quote and preview in English
4. Switch to French preview
5. Verify all fields match input data","1. English preview: all fields display correctly with input data
2. French preview: all fields display correctly with translations
3. Currency formatting maintained across languages
4. Growing table rows display completely
5. No data truncation or overlap",Validation across languages
TC_1455_013,Create Binder After Quote Approval,Verify user can proceed to create binder after quote is approved.,Positive,High,Binder Management,1455,"Binder creation: Available after quote approval","1. Login to EZDocs
2. Create and approve quote with endorsements
3. Navigate to Binder section
4. Click Create Binder","1. Create Binder button is enabled
2. Binder is created successfully
3. All quote details carry forward to binder
4. Binder ID generated
5. Binder displays with endorsement forms",Quote to Binder workflow
TC_1455_014,Create Policy from Binder,Verify user can create policy from binder with all endorsement information intact.,Positive,High,Policy Management,1455,"Policy creation: Endorsement data preserved from binder","1. Login to EZDocs
2. Create binder with endorsement forms
3. Navigate to Policy section
4. Click Create Policy
5. Review policy details","1. Policy created successfully from binder
2. All endorsement forms transfer to policy
3. Form data remains intact
4. Policy number generated
5. Policy status shows as active",Policy creation workflow
TC_1455_015,Empty Growing Table Error Handling,Verify that empty or incomplete growing table rows prevent form submission with appropriate error messages.,Negative,High,Error Handling,1455,"Required fields validation: Growing table requires complete entries","1. Login to EZDocs
2. Add ZC-FLXS-256-C CW form
3. Click Fill-in Details
4. Leave growing table first row Policy Coverage blank
5. Attempt to save","1. System shows error message for empty Policy Coverage
2. Form cannot be saved with incomplete row
3. Error message specifies which field is required
4. User can correct and resubmit",Empty field validation
TC_1455_016,Invalid Currency Amount Rejection,Verify system rejects invalid currency values in Sublimit and Total Underlying sublimit fields.,Negative,High,Data Validation,1455,"Amount fields validation: Reject non-numeric and malformed amounts","1. Login to EZDocs
2. Add ZC-FLXS-256-C CW form
3. Click Fill-in Details
4. In Sublimit field, enter 'ABC' or '!@#$'
5. Attempt to save
6. Try negative amount '-500'
7. Try empty field with multiple rows","1. Non-numeric characters rejected with error
2. Special characters not accepted
3. Negative amounts rejected with validation message
4. System provides guidance on valid format
5. Form prevents submission until corrected",Currency field validation
TC_1455_017,Maximum Length Text Field Validation,Verify alphanumeric fields have maximum length limits and reject overflow.,Negative,Medium,Data Validation,1455,"Field length limits: Text fields enforce maximum character limits","1. Login to EZDocs
2. Add ZC-FLXS-11817 U (DIC form)
3. In Lead DIC policy insurer name field, enter 500+ character string
4. In Policy No field, enter exceeding characters
5. Attempt to save","1. System truncates or rejects oversized input
2. Error message indicates maximum character limit
3. User cannot submit with oversized data
4. System provides feedback on character count limit",Field overflow protection
TC_1455_018,Boundary Test - Minimum Sublimit Amount,Verify system accepts minimum valid Sublimit amount (e.g., $1 or 0).,Boundary,Medium,Boundary Testing,1455,"Amount field boundaries: Minimum amounts accepted","1. Login to EZDocs
2. Add ZC-FLXS-256-C CW form
3. Enter Policy Coverage text
4. In Sublimit field, enter: $1
5. In Total Underlying sublimit, enter: $0.01
6. Save form","1. System accepts $1 as valid Sublimit
2. Accepts $0.01 as valid amount
3. No error messages for minimum valid amounts
4. Forms save successfully
5. Data displays with correct formatting",Minimum value acceptance
TC_1455_019,Boundary Test - Maximum Sublimit Amount,Verify system accepts large but reasonable Sublimit amounts and rejects unrealistic maximums.,Boundary,Medium,Boundary Testing,1455,"Amount field boundaries: Large valid amounts accepted, excessive amounts rejected","1. Login to EZDocs
2. Add ZC-FLXS-256-C CW form
3. Enter Sublimit: $999,999,999.99
4. Enter Total Underlying sublimit: $999,999,999.99
5. Save
6. Try amount exceeding system max (e.g., $999,999,999,999)","1. Accepts $999,999,999.99 and saves
2. Rejects amounts exceeding maximum with error
3. Error message specifies maximum allowed amount
4. System provides clear validation feedback
5. Form remains editable for correction",Maximum value boundary
TC_1455_020,Boundary Test - Growing Table Row Limit,Verify system enforces reasonable maximum row count for growing table (typically 50-100 rows).,Boundary,Medium,Boundary Testing,1455,"Growing table: Reasonable row limits enforced","1. Login to EZDocs
2. Add ZC-FLXS-11817 U (DIC form)
3. Programmatically or manually add 100+ rows
4. Attempt to add one more row
5. Save form","1. System allows typical reasonable row count (50-100)
2. System prevents adding beyond maximum
3. Clear message: 'Maximum rows reached'
4. User can still edit/delete existing rows
5. Last valid rows save successfully",Row count limit
TC_1455_021,Bilingual Form Support - English Coverage Types,Verify all coverage types and policy names display correctly in English version of endorsement forms.,Positive,High,Localization,1455,"Bilingual support: English forms display all coverage terminology correctly","1. Login to EZDocs
2. Add ZC-FLXS-256-C CW (English Drop Down)
3. Click Fill-in Details
4. Verify coverage dropdown options in English
5. Select various coverage types
6. Create quote
7. Preview in English","1. Coverage dropdown displays English options
2. All field labels in English
3. All options readable and selectable
4. English preview shows correct terminology
5. No language encoding issues",Bilingual form labels
TC_1455_022,Bilingual Form Support - French Coverage Types,Verify all coverage types and policy names display correctly in French version of endorsement forms.,Positive,High,Localization,1455,"Bilingual support: French forms display all coverage terminology correctly","1. Login to EZDocs
2. Add ZC-FLXS-256-C FR (French Avenant)
3. Click Fill-in Details
4. Verify coverage dropdown options in French
5. Select various coverage types
6. Create quote
7. Preview in French","1. Coverage dropdown displays French options
2. All field labels in French
3. All options readable and selectable
4. French preview shows correct French terminology
5. No language encoding issues",French forms and labels
TC_1455_023,Form Dependency - DIC Coverage Requires Lead Policy,Verify that Other underlying DIC policy section only appears when Lead DIC policy is filled for ZC-FLXS-11817 U.,Integration,High,Form Dependency,1455,"Form dependency: Underlying policies field depends on Lead policy completion","1. Login to EZDocs
2. Add ZC-FLXS-11817 U form
3. Click Fill-in Details
4. Observe - Other underlying policy section should be hidden
5. Fill Lead DIC policy information
6. Verify Other underlying policy section appears","1. Lead policy section displays initially
2. Other underlying policy section hidden until Lead is completed
3. Filling Lead policy reveals underlying policy section
4. Dependency logic works bidirectionally
5. Clearing Lead policy hides underlying section",Conditional field display
TC_1455_024,Integration - Quote to Document Flow,Verify complete end-to-end flow from form entry through document generation with all data preserved.,Integration,High,Workflow,1455,"Full workflow: Forms → Quote → Preview → Document with all data preserved","1. Login to EZDocs
2. Navigate to Financial Lines > Excess Select
3. Add ZC-FLXS-256-C CW form with Policy Coverage and Sublimit values
4. Add ZC-FLXS-11817 U form with DIC policy info
5. Create quote
6. Preview in English and French
7. Verify all data in preview
8. Create binder
9. Create policy","1. All data entered in forms carries through
2. Quote displays complete information
3. English preview shows all fields correctly
4. French preview shows French translations
5. Binder preserves all endorsement data
6. Policy document includes all endorsement details
7. No data loss in any stage",End-to-end workflow
TC_1455_025,Integration - Multiple Form Support,Verify system can handle multiple endorsement forms added simultaneously to one submission.,Integration,High,Multi-Form,1455,"Multiple forms: System supports 3+ forms simultaneously without conflicts","1. Login to EZDocs
2. Open Financial Lines > Excess Select
3. Add ZC-FLXS-256-C CW form and fill
4. Add ZC-FLXS-11816 U form and fill
5. Add ZC-FLXS-11817 U form and fill
6. Add ZC-FLXS-11819 U form and fill
7. Create quote
8. Preview document","1. All 4 forms add successfully
2. Each form has independent fill-in details
3. Data from each form displays correctly in quote
4. Document includes all forms with correct data
5. No data overlap or mixing between forms",Multiple endorsements
TC_1455_026,Integration - Send for Booking Button (1817),Verify Send for Booking button is available on Binder tab and clickable before policy issuance.,Integration,High,Booking Integration,1817,"Send for booking button available on Binder tab for Financial Lines - Excess Select","1. Login to EZDocs
2. Navigate to Financial Lines > Excess Select submission
3. Complete and create binder with endorsements
4. Go to Binder tab
5. Locate Send for Booking button
6. Verify button state and clickability","1. Send for Booking button displays on Binder tab
2. Button is enabled (not greyed out)
3. Button has reference icon as specified
4. Button state changes appropriately
5. Button location is consistent with design",Feature 1817 integration
TC_1455_027,Integration - Send for Booking Disabled Post-Policy,Verify Send for Booking button becomes disabled after policy is created.,Integration,High,Booking Integration,1817,"Send for booking: Button disabled after policy issuance","1. Login to EZDocs
2. Create binder and click Send for Booking
3. Proceed to Policy tab
4. Create policy
5. Check Send for Booking button state
6. Try to click Send for Booking","1. Send for Booking button transitions to Policy tab
2. Button becomes greyed out/disabled
3. Button no longer clickable post-policy
4. Error message if attempted: 'Policy already issued'
5. Tooltip indicates reason for disablement",Policy stage restrictions
TC_1455_028,Negative - Invalid Insurer Name Format,Verify DIC form rejects invalid insurer names (e.g., only numbers or special characters).,Negative,Medium,Data Validation,1455,"DIC form: Insurer name requires valid alphanumeric format","1. Login to EZDocs
2. Add ZC-FLXS-11817 U form
3. In Lead DIC policy insurer field, enter: '12345'
4. Try: '!@#$%' 
5. Try: '   ' (spaces only)
6. Attempt to save","1. Numbers-only rejected with message
2. Special-character-only rejected
3. Whitespace-only rejected
4. Error indicates alphanumeric required
5. User can correct and resubmit",Insurer name validation
TC_1455_029,Negative - Missing Policy Number Format,Verify DIC form enforces Policy Number format requirements.,Negative,Medium,Data Validation,1455,"DIC form: Policy number required and format enforced","1. Login to EZDocs
2. Add ZC-FLXS-11817 U form
3. Leave Policy Number blank and try to save
4. Enter empty spaces
5. Enter invalid format if specified","1. Blank policy number rejected
2. Spaces-only rejected
3. Error message indicates required field
4. Format message displayed if applicable
5. User cannot save without valid policy number",Policy number validation
TC_1455_030,Negative - Mismatched Lead and Underlying Amounts,Verify system alerts if Underlying policy limits exceed or conflict with Lead policy limit in DIC form.,Negative,Medium,Business Logic,1455,"DIC form: Underlying policy amounts validated against Lead policy","1. Login to EZDocs
2. Add ZC-FLXS-11817 U form
3. Set Lead DIC policy Limit: $100,000
4. Set Other underlying policy Limit: $150,000 (exceeding lead)
5. Attempt to save","1. System detects amount mismatch
2. Warning or error message displayed
3. Message indicates constraint
4. User can acknowledge and override or correct
5. System logs the decision",Business rule validation
TC_1705_001,English Crime Fraudulent Impersonation No Callback,Verify ZC 10827 U 0126 form is accessible and fillable for English Crime submissions without callback provision.,Positive,High,Form Availability,1705,"English Crime forms: ZC 10827 U 0126 available and fillable","1. Login to EZDocs
2. Navigate to Financial Lines > Crime
3. Go to Forms tab
4. Add Endorsement
5. Search and add ZC 10827 U 0126
6. Click Fill-in Details","1. Form appears in search results
2. Form adds successfully
3. Form title: 'Fraudulent Impersonation Endorsement (With No Callback Provision)'
4. Fields display: Item 2 (Limit) and Item 4 (Deductible)
5. Currency fields visible",Crime product forms
TC_1705_002,English Crime Fraudulent Impersonation With Callback,Verify ZC 10828 U 0126 form is accessible and fillable for English Crime submissions with callback provision.,Positive,High,Form Availability,1705,"English Crime forms: ZC 10828 U 0126 available and fillable","1. Login to EZDocs
2. Navigate to Financial Lines > Crime
3. Add Endorsement
4. Search and add ZC 10828 U 0126
5. Click Fill-in Details
6. Observe callback provision indicator","1. Form adds successfully
2. Form title includes 'With Callback Provision'
3. Callback provision clause visible
4. Item 2 and Item 4 fields present
5. Form distinct from ZC 10827 U 0126",Callback provision variant
TC_1705_003,French Crime Fraudulent Impersonation No Callback,Verify ZC 10827 G 0126 form is accessible and fillable for French Crime submissions without callback provision.,Positive,High,Form Availability,1705,"French Crime forms: ZC 10827 G 0126 available and fillable","1. Login to EZDocs
2. Navigate to Financial Lines > Crime > French interface
3. Add Endorsement
4. Search and add ZC 10827 G 0126
5. Click Fill-in Details
6. Verify French content","1. Form appears in French search results
2. Form title: 'Avenant relatif à l'usurpation d'identité frauduleuse (Sans condition préalable)'
3. Fields display in French
4. All labels in French
5. Form adds and opens correctly",French Crime forms
TC_1705_004,French Crime Fraudulent Impersonation With Callback,Verify ZC 10828 G 0126 form is accessible for French Crime submissions with callback provision.,Positive,High,Form Availability,1705,"French Crime forms: ZC 10828 G 0126 available and fillable","1. Login to EZDocs
2. Navigate to Financial Lines > Crime > French mode
3. Add Endorsement
4. Search and add ZC 10828 G 0126
5. Click Fill-in Details","1. Form available in French
2. Form title includes callback indicator in French
3. All fields display in French
4. Callback provision mentioned in French
5. Form distinct from ZC 10827 G 0126",French Crime callback variant
TC_1705_005,English PCL Fraudulent Impersonation No Callback,Verify ZC-PCL-11743 U 1225 form is accessible and fillable for English Private Company Select.,Positive,High,Form Availability,1705,"English PCL forms: ZC-PCL-11743 U 1225 available and fillable","1. Login to EZDocs
2. Navigate to Financial Lines > Private Company Select
3. Add Endorsement
4. Search and add ZC-PCL-11743 U 1225
5. Click Fill-in Details
6. Observe form fields","1. Form appears in search
2. Form title: 'Fraudulent Impersonation Endorsement (No Callback Provision)'
3. Fields: Limit of Liability and Deductible in CAD
4. Form opens without errors
5. Currency designation shows CAD",PCL English forms
TC_1705_006,English PCL Fraudulent Impersonation With Callback,Verify ZC-PCL-11744 U 1225 form is accessible and fillable for English Private Company Select.,Positive,High,Form Availability,1705,"English PCL forms: ZC-PCL-11744 U 1225 available and fillable","1. Login to EZDocs
2. Navigate to Financial Lines > Private Company Select
3. Add Endorsement
4. Search and add ZC-PCL-11744 U 1225
5. Click Fill-in Details","1. Form appears and adds successfully
2. Form title includes 'Callback Provision'
3. Callback provision clause visible
4. Limit of Liability field (CAD)
5. Deductible field (CAD)",PCL callback variant
TC_1705_007,French PCL Fraudulent Impersonation No Callback,Verify ZC-PCL-11743 G 1225 form is accessible for French Private Company Select without callback.,Positive,High,Form Availability,1705,"French PCL forms: ZC-PCL-11743 G 1225 available and fillable","1. Login to EZDocs
2. Navigate to Financial Lines > Private Company Select > French
3. Add Endorsement
4. Search and add ZC-PCL-11743 G 1225
5. Click Fill-in Details","1. Form appears in French
2. Form title in French
3. All fields in French with CAD designation
4. Callback provision absent from title
5. Form opens correctly",French PCL no callback
TC_1705_008,French PCL Fraudulent Impersonation With Callback,Verify ZC-PCL-11744 G 1225 form is accessible for French Private Company Select with callback.,Positive,High,Form Availability,1705,"French PCL forms: ZC-PCL-11744 G 1225 available and fillable","1. Login to EZDocs
2. Navigate to Financial Lines > Private Company Select > French
3. Add Endorsement
4. Search and add ZC-PCL-11744 G 1225
5. Click Fill-in Details","1. Form available in French
2. Form title includes callback reference in French
3. Limit of Liability field (CAD)
4. Deductible field (CAD)
5. All content in French",French PCL callback
TC_1705_009,Crime Form - Limit of Liability Field Acceptance,Verify ZC 10827 U 0126 Item 2 (Limit of Liability) accepts valid dollar amounts in CAD.,Positive,High,Field Validation,1705,"Item 2 field: Accepts valid CAD currency amounts","1. Login to EZDocs
2. Open Crime submission
3. Add ZC 10827 U 0126
4. Click Fill-in Details
5. In Item 2, enter: $50,000 CAD
6. Enter: $1,234,567.89
7. Save form","1. Field accepts formatted currency ($50,000)
2. Field accepts decimal amounts
3. CAD designation preserved
4. Data saves without errors
5. Values display with proper formatting",Crime limit field
TC_1705_010,Crime Form - Deductible Field Acceptance,Verify ZC 10827 U 0126 Item 4 (Deductible Amount) accepts valid dollar amounts in CAD.,Positive,High,Field Validation,1705,"Item 4 field: Accepts valid CAD currency amounts","1. Login to EZDocs
2. Open Crime submission with ZC 10827 U 0126
3. Click Fill-in Details
4. In Item 4, enter: $10,000 CAD
5. Enter: $250.50
6. Save form","1. Deductible field accepts currency formatting
2. Field accepts decimal values
3. Low values like $250 accepted
4. Data saves correctly
5. CAD currency maintained",Crime deductible field
TC_1705_011,PCL Form - Limit of Liability Field Acceptance,Verify ZC-PCL-11743 U 1225 Limit of Liability field accepts valid amounts.,Positive,High,Field Validation,1705,"PCL Limit field: Accepts valid CAD amounts","1. Login to EZDocs
2. Open PCL submission
3. Add ZC-PCL-11743 U 1225
4. Click Fill-in Details
5. In Limit of Liability, enter: $75,000 CAD
6. Enter: $5,000,000.99
7. Save","1. Limit field accepts formatted amounts
2. Large amounts accepted
3. Decimal precision maintained
4. CAD currency applied
5. Data persists",PCL limit field
TC_1705_012,PCL Form - Deductible Field Acceptance,Verify ZC-PCL-11743 U 1225 Deductible field accepts valid amounts.,Positive,High,Field Validation,1705,"PCL Deductible field: Accepts valid CAD amounts","1. Login to EZDocs
2. Open PCL submission with ZC-PCL-11743 U 1225
3. Click Fill-in Details
4. In Deductible, enter: $5,000 CAD
5. Enter: $100.00
6. Save","1. Deductible field accepts all valid amounts
2. Minimum values ($100) accepted
3. Currency formatting applied
4. Data saves successfully
5. Display shows CAD",PCL deductible field
TC_1705_013,Negative - Crime Form Missing Required Limit,Verify ZC 10827 U 0126 requires Item 2 (Limit of Liability) and rejects blank submission.,Negative,High,Field Validation,1705,"Item 2 required: Cannot save form without Limit of Liability","1. Login to EZDocs
2. Open Crime submission
3. Add ZC 10827 U 0126
4. Click Fill-in Details
5. Leave Item 2 blank
6. Fill Item 4 with $10,000
7. Attempt to save","1. System prevents save with error message
2. Error identifies Item 2 as required
3. Error message: 'Limit of Liability is required'
4. User cannot bypass validation
5. Form remains in edit mode",Required field validation
TC_1705_014,Negative - Crime Form Missing Required Deductible,Verify ZC 10827 U 0126 requires Item 4 (Deductible Amount) and rejects blank submission.,Negative,High,Field Validation,1705,"Item 4 required: Cannot save form without Deductible Amount","1. Login to EZDocs
2. Open Crime submission
3. Add ZC 10827 U 0126
4. Click Fill-in Details
5. Fill Item 2 with $50,000
6. Leave Item 4 blank
7. Attempt to save","1. System prevents save with error
2. Error specifies Item 4 is required
3. Error message: 'Deductible Amount is required'
4. Form cannot be saved
5. User prompted to fill both fields",Required field validation
TC_1705_015,Negative - Crime Form Invalid Limit Amount,Verify ZC 10827 U 0126 rejects non-numeric values in Item 2.,Negative,High,Data Validation,1705,"Item 2 validation: Non-numeric and malformed amounts rejected","1. Login to EZDocs
2. Open Crime submission
3. Add ZC 10827 U 0126
4. In Item 2, enter: 'ABC'
5. Try: '!@#$'
6. Try: '12A34'
7. Attempt to save","1. Non-numeric input rejected
2. Special characters not accepted
3. Alphanumeric mixes rejected
4. Error message indicates: 'Valid currency required'
5. User can correct entry",Limit validation
TC_1705_016,Negative - Crime Form Negative Amount,Verify ZC 10827 U 0126 rejects negative amounts in Item 2 and Item 4.,Negative,High,Business Logic,1705,"Amount fields: Negative values rejected","1. Login to EZDocs
2. Open Crime submission
3. Add ZC 10827 U 0126
4. In Item 2, enter: -$50,000
5. In Item 4, enter: -$5,000
6. Attempt to save","1. Negative Item 2 rejected with error
2. Negative Item 4 rejected with error
3. System message: 'Amount must be positive'
4. Both fields validated
5. Form prevents save until corrected",Negative amount rejection
TC_1705_017,Negative - PCL Form Missing Both Fields,Verify ZC-PCL-11743 U 1225 rejects submission with both Limit and Deductible blank.,Negative,High,Field Validation,1705,"PCL fields required: Both Limit and Deductible must be filled","1. Login to EZDocs
2. Open PCL submission
3. Add ZC-PCL-11743 U 1225
4. Click Fill-in Details
5. Leave both fields blank
6. Attempt to save","1. System rejects form submission
2. Error message lists both missing fields
3. Error: 'Limit of Liability and Deductible required'
4. Form cannot save
5. User must complete both fields",Multiple required fields
TC_1705_018,Negative - PCL Form Invalid Currency Symbol,Verify ZC-PCL-11743 U 1225 rejects non-CAD currency symbols.,Negative,Medium,Data Validation,1705,"PCL currency validation: Only CAD currency accepted","1. Login to EZDocs
2. Open PCL submission
3. Add ZC-PCL-11743 U 1225
4. In Limit field, enter: $50,000 USD
5. Enter: €75,000 EUR
6. Attempt to save","1. USD symbol rejected
2. EUR symbol rejected
3. System enforces CAD only
4. Error indicates: 'Only CAD currency permitted'
5. User corrects to CAD",Currency enforcement
TC_1705_019,Negative - PCL Deductible Exceeds Limit,Verify system may alert if Deductible exceeds Limit of Liability (business rule).,Negative,Medium,Business Logic,1705,"Business rule: Deductible should not exceed Limit of Liability","1. Login to EZDocs
2. Open PCL submission
3. Add ZC-PCL-11743 U 1225
4. Set Limit of Liability: $50,000 CAD
5. Set Deductible: $75,000 CAD
6. Attempt to save","1. System detects business logic violation
2. Warning or error message displayed
3. Message: 'Deductible cannot exceed Limit'
4. User can override with acknowledgment or correct
5. Transaction logged",Business logic validation
TC_1705_020,Boundary - Crime Form Minimum Amount,Verify ZC 10827 U 0126 accepts minimum valid amounts ($1 or lower allowed threshold).,Boundary,Medium,Boundary Testing,1705,"Minimum boundary: $1 or minimum configured threshold","1. Login to EZDocs
2. Open Crime submission
3. Add ZC 10827 U 0126
4. In Item 2, enter: $1 CAD
5. In Item 4, enter: $0.01 CAD
6. Save form","1. System accepts $1 as minimum
2. $0.01 accepted with or without validation
3. Form saves without boundary errors
4. Data displays correctly
5. No minimum amount rejection",Minimum threshold
TC_1705_021,Boundary - Crime Form Maximum Amount,Verify ZC 10827 U 0126 accepts large amounts up to system maximum.,Boundary,Medium,Boundary Testing,1705,"Maximum boundary: Large valid amounts accepted","1. Login to EZDocs
2. Open Crime submission
3. Add ZC 10827 U 0126
4. In Item 2, enter: $999,999,999.99 CAD
5. In Item 4, enter: $999,999,999.99 CAD
6. Save
7. Try exceeding: $9,999,999,999 CAD","1. Accepts $999,999,999.99
2. Rejects amounts beyond system max
3. Error message: 'Amount exceeds maximum'
4. System indicates max allowed
5. User can adjust",Maximum threshold
TC_1705_022,Boundary - PCL Amount Decimals,Verify PCL amount fields accept 2-decimal precision and handle rounding appropriately.,Boundary,Medium,Boundary Testing,1705,"Decimal precision: Fields accept 2 decimals (e.g., $1,234.56)","1. Login to EZDocs
2. Open PCL submission
3. Add ZC-PCL-11743 U 1225
4. In Limit: enter $1,234.567 (3 decimals)
5. In Limit: enter $1,234.56 (2 decimals)
6. Save and verify rounding","1. 3-decimal input rounded to 2 decimals
2. 2-decimal input preserved exactly
3. System applies consistent rounding rule
4. Data displays with 2-decimal precision
5. Rounding transparent to user",Decimal handling
